CT.Bin,Overall_n,Ct.Change,Infection,Infection_Upr,Infection_Lwr
37.5,123,Raw,0.25456585365853657,0.31917283010382763,0.1899588772132455
36.5,109,Raw,0.3738697247706422,0.4500963177172518,0.29764313182403257
35.5,95,Raw,0.5208042105263158,0.6051103483598474,0.43649807269278407
34.5,78,Raw,0.6780923076923078,0.7651064896598045,0.591078125724811
33.5,64,Raw,0.781884375,0.8667930230579716,0.6969757269420284
32.5,53,Raw,0.9319132075471698,0.9888258162732377,0.8750005988211018
31.5,45,Raw,0.97448,1,0.9358123481214742
30.5,36,Raw,0.9696888888888888,1,0.9226893989990315
29.5,32,Raw,0.9999625,1,0.9981819271036215
28.5,27,Raw,1,1,1
27.5,23,Raw,1,1,1
26.5,26,Raw,1,1,1
25.5,28,Raw,0.9999999999999999,1,0.9999999967246828
24.5,22,Raw,1,1,1
23.5,20,Raw,1,1,1
22.5,18,Raw,0.9999999999999999,1,0.9999999959149617
21.5,14,Raw,1,1,1
20.5,7,Raw,1,1,1
19.5,9,Raw,1,1,1
18.5,9,Raw,1,1,1
17.5,8,Raw,1,1,1
16.5,4,Raw,1,1,1
15.5,3,Raw,1,1,1
