CT.Bin,Onset,Resolution,Overall_n,Ct.Change,Onset_Upr,Onset_Lwr
37.5,0.30877374519347467,0.6912262548065254,123,Raw,0.3772917955094952,0.24025569487745413
36.5,0.30939001467419847,0.6906099853258016,109,Raw,0.38221553244845824,0.2365644968999387
35.5,0.2750766021780081,0.7249233978219919,95,Raw,0.3504361594609718,0.19971704489504444
34.5,0.3098662915570075,0.6901337084429924,78,Raw,0.39599218554145776,0.22374039757255726
33.5,0.3444323209553843,0.6555676790446158,64,Raw,0.442133090787621,0.24673155112314762
32.5,0.33647963005705445,0.6635203699429456,53,Raw,0.44323650221030153,0.22972275790380733
31.5,0.35286739822492225,0.6471326017750778,45,Raw,0.4700392807121402,0.23569551573770428
30.5,0.4526365844715373,0.5473634155284628,36,Raw,0.5890913527688819,0.3161818161741927
29.5,0.43646636748878087,0.5635336325112191,32,Raw,0.5806737785115742,0.29225895646598754
28.5,0.36671851851851855,0.6332814814814816,27,Raw,0.519267808177598,0.21416922885943912
27.5,0.3574173913043478,0.6425826086956522,23,Raw,0.5217847827324839,0.19304999987621177
26.5,0.32856153846153846,0.6714384615384615,26,Raw,0.4800752901348341,0.17704778678824287
25.5,0.32985000000000003,0.67015,28,Raw,0.4759978720471653,0.18370212795283475
24.5,0.3573545454545454,0.6426454545454545,22,Raw,0.5254094887758215,0.18929960213326938
23.5,0.37129,0.62871,20,Raw,0.5489927174988163,0.19358728250118376
22.5,0.4001777777777778,0.5998222222222223,18,Raw,0.59012317059941,0.21023238495614563
21.5,0.39521428571428574,0.6047857142857144,14,Raw,0.6101360110277035,0.18029256040086797
20.5,0.39048571428571427,0.6095142857142858,7,Raw,0.6937859559335112,0.08718547263791732
19.5,0.42319999999999997,0.5768,9,Raw,0.69408905455538,0.15231094544461993
18.5,0.42319999999999997,0.5768,9,Raw,0.69408905455538,0.15231094544461993
17.5,0.39515,0.60485,8,Raw,0.6794567029385974,0.11084329706140256
16.5,0.4945,0.5055000000000001,4,Raw,0.9056885275741429,0.08331147242585718
15.5,0.4554666666666667,0.5445333333333333,3,Raw,0.9284078827626845,0
