CT.Bin,Ct.Change,Onset,Resolution,Overall_n,Onset_Upr,Onset_Lwr
37.5,Decrease,0.5523995626584781,0.44760043734152183,23,0.7229430945910779,0.38185603072587837
37.5,Increase,0.018976758456700157,0.9810232415432998,61,0.04771187761407422,0
36.5,Decrease,0.4721934525149728,0.5278065474850273,21,0.6513839505462063,0.29300295448373925
36.5,Increase,0.01791337376707713,0.9820866262329229,54,0.04760226435418019,0
35.5,Decrease,0.4592196192419489,0.5407803807580511,19,0.6472686663173123,0.27117057216658547
35.5,Increase,0.06951366357828545,0.9304863364217145,50,0.1286742327474379,0.010353094409132998
34.5,Decrease,0.46384900671978857,0.5361509932802115,12,0.7006418142126675,0.2270561992269097
34.5,Increase,0.09345786755572988,0.9065421324442702,42,0.16733406645527957,0.01958166865618019
33.5,Decrease,0.5124142191648161,0.48758578083518384,12,0.7497552018151719,0.2750732365144603
33.5,Increase,0.11313359265967869,0.8868664073403213,31,0.2067110632042184,0.01955612211513899
32.5,Decrease,0.5599636363636363,0.4400363636363636,11,0.8061449644938159,0.31378230823345676
32.5,Increase,0.12748607602344886,0.8725139239765511,24,0.23946574931170903,0.01550640273518869
31.5,Decrease,0.6,0.4,10,0.8548196281652767,0.34518037183472333
31.5,Increase,0.18226257720530012,0.8177374227947,20,0.3242559087498089,0.04026924566079135
30.5,Decrease,0.8571142857142858,0.14288571428571428,7,1,0.6395477940192897
30.5,Increase,0.16856923076923078,0.8314307692307692,14,0.3331448272412476,0.0039936342972139716
29.5,Decrease,0.9426857142857142,0.05731428571428571,7,1,0.7981772978922881
29.5,Increase,0.14825454545454547,0.8517454545454546,11,0.32448860094822973,0
28.5,Decrease,0.91976,0.08024000000000002,5,1,0.7199234267995647
28.5,Increase,0.1648,0.8352,11,0.34879446591070173,0
27.5,Decrease,0.8662666666666666,0.13373333333333334,3,1,0.5430362173426551
27.5,Increase,0.15789999999999998,0.8421,8,0.3699582445730837,0
26.5,Decrease,0.8996,0.1004,4,1,0.6524339364481113
26.5,Increase,0.11104444444444445,0.8889555555555556,9,0.28330841141333185,0
25.5,Decrease,0.8662000000000001,0.1338,3,1,0.5429014358194426
25.5,Increase,0.14496666666666666,0.8550333333333334,6,0.3813828658861219,0
24.5,Decrease,0.9996,4e-4,1,1,0.9667095075335533
24.5,Increase,0.21900000000000003,0.781,5,0.5232214479109009,0
23.5,Decrease,0.9996,4e-4,1,1,0.9667095075335533
23.5,Increase,0.22825,0.77175,4,0.5734263032963549,0
22.5,Decrease,0.9996,4e-4,1,1,0.9667095075335533
22.5,Increase,0.22825,0.77175,4,0.5734263032963549,0
21.5,Increase,0.3112,0.6888,2,0.8496912147210491,0
20.5,Increase,0.3112,0.6888,2,0.8496912147210491,0
19.5,Increase,0.30006666666666665,0.6999333333333334,3,0.7352816561300509,0
18.5,Increase,0.30006666666666665,0.6999333333333334,3,0.7352816561300509,0
17.5,Increase,0.30006666666666665,0.6999333333333334,3,0.7352816561300509,0
16.5,Increase,0.2844,0.7156,2,0.8091013975355374,0
15.5,Increase,0.2844,0.7156,2,0.8091013975355374,0
