t,eff_se_40,eff_se_35
3,0.658,0.517
2.9583333333333335,0.656,0.514
2.9166666666666665,0.675,0.537
2.875,0.67,0.544
2.8333333333333335,0.68,0.533
2.7916666666666665,0.693,0.51
2.75,0.697,0.535
2.7083333333333335,0.69,0.547
2.6666666666666665,0.711,0.548
2.625,0.703,0.555
2.5833333333333335,0.744,0.567
2.5416666666666665,0.702,0.555
2.5,0.738,0.566
2.4583333333333335,0.738,0.564
2.416666666666667,0.737,0.559
2.375,0.753,0.577
2.3333333333333335,0.77,0.564
2.291666666666667,0.753,0.588
2.25,0.759,0.609
2.2083333333333335,0.769,0.601
2.166666666666667,0.775,0.579
2.125,0.79,0.609
2.0833333333333335,0.793,0.602
2.041666666666667,0.788,0.636
2,0.822,0.642
1.9583333333333335,0.811,0.652
1.9166666666666667,0.823,0.629
1.875,0.802,0.647
1.8333333333333335,0.821,0.659
1.7916666666666667,0.848,0.694
1.75,0.831,0.64
1.7083333333333335,0.847,0.652
1.6666666666666667,0.814,0.686
1.625,0.86,0.682
1.5833333333333335,0.866,0.69
1.5416666666666667,0.876,0.704
1.5,0.866,0.714
1.4583333333333335,0.874,0.719
1.4166666666666667,0.882,0.69
1.375,0.872,0.699
1.3333333333333335,0.883,0.707
1.2916666666666667,0.892,0.747
1.25,0.89,0.731
1.2083333333333335,0.898,0.762
1.1666666666666667,0.914,0.754
1.125,0.919,0.749
1.0833333333333335,0.924,0.743
1.0416666666666667,0.916,0.77
1,0.932,0.777
0.9583333333333335,0.936,0.784
0.916666666666667,0.927,0.807
0.875,0.933,0.797
0.8333333333333335,0.939,0.799
0.791666666666667,0.954,0.803
0.75,0.957,0.831
0.7083333333333335,0.952,0.81
0.666666666666667,0.966,0.819
0.625,0.961,0.842
0.5833333333333335,0.958,0.844
0.541666666666667,0.975,0.842
0.5,0.973,0.841
0.4583333333333335,0.979,0.856
0.41666666666666696,0.973,0.865
0.375,0.975,0.872
0.3333333333333335,0.986,0.862
0.29166666666666696,0.982,0.887
0.25,0.984,0.892
0.20833333333333348,0.989,0.899
0.16666666666666696,0.991,0.908
0.125,0.989,0.903
0.08333333333333348,0.987,0.917
0.04166666666666696,0.991,0.908
-0,0.992,0.938
